,Month,Package,Low Price,High Price,Price
70,9,1 1/9 bushel cartons,15.0,15.0,9.841499999999998
71,9,1 1/9 bushel cartons,18.0,18.0,11.809799999999997
72,10,1 1/9 bushel cartons,18.0,18.0,11.809799999999997
73,10,1 1/9 bushel cartons,17.0,17.0,11.153699999999997
74,10,1 1/9 bushel cartons,15.0,15.0,9.841499999999998
75,10,1 1/9 bushel cartons,18.0,18.0,11.809799999999997
76,10,1 1/9 bushel cartons,17.0,17.0,11.153699999999997
77,10,1 1/9 bushel cartons,17.0,18.5,11.645774999999999
78,10,1 1/9 bushel cartons,15.0,15.0,9.841499999999998
79,10,1 1/9 bushel cartons,17.0,17.0,11.153699999999997
80,10,1 1/9 bushel cartons,17.0,18.5,11.645774999999999
81,10,1 1/9 bushel cartons,15.0,15.0,9.841499999999998
82,10,1 1/9 bushel cartons,17.0,17.0,11.153699999999997
83,10,1 1/9 bushel cartons,17.0,18.5,11.645774999999999
84,10,1 1/9 bushel cartons,15.0,15.0,9.841499999999998
85,10,1 1/9 bushel cartons,16.0,17.0,10.825649999999998
86,10,1 1/9 bushel cartons,16.0,18.0,11.153699999999997
87,9,1 1/9 bushel cartons,18.0,18.0,11.809799999999997
88,9,1 1/9 bushel cartons,16.0,16.0,10.497599999999998
89,9,1 1/9 bushel cartons,18.0,18.0,11.809799999999997
90,9,1 1/9 bushel cartons,16.0,16.0,10.497599999999998
91,9,1 1/9 bushel cartons,16.0,16.0,10.497599999999998
92,9,1 1/9 bushel cartons,16.0,16.0,10.497599999999998
123,9,1/2 bushel cartons,18.0,18.0,288.0
124,9,1/2 bushel cartons,15.0,15.0,240.0
125,10,1/2 bushel cartons,18.0,18.0,288.0
126,10,1/2 bushel cartons,15.0,15.0,240.0
127,10,1/2 bushel cartons,17.0,17.0,272.0
128,10,1/2 bushel cartons,15.0,15.0,240.0
129,10,1/2 bushel cartons,15.0,18.0,264.0
130,10,1/2 bushel cartons,16.0,17.0,264.0
131,10,1/2 bushel cartons,16.0,18.0,272.0
132,10,1/2 bushel cartons,15.0,15.0,240.0
133,10,1/2 bushel cartons,15.0,15.0,240.0
134,10,1/2 bushel cartons,16.0,17.0,264.0
135,10,1/2 bushel cartons,16.0,18.0,272.0
136,10,1/2 bushel cartons,15.0,15.0,240.0
137,10,1/2 bushel cartons,15.0,15.0,240.0
138,10,1/2 bushel cartons,16.0,17.0,264.0
139,10,1/2 bushel cartons,16.0,18.0,272.0
140,10,1/2 bushel cartons,15.0,17.0,256.0
141,10,1/2 bushel cartons,15.0,15.0,240.0
142,10,1/2 bushel cartons,16.0,17.0,264.0
143,10,1/2 bushel cartons,16.0,18.0,272.0
144,11,1/2 bushel cartons,16.0,17.0,264.0
145,9,1/2 bushel cartons,18.0,18.0,288.0
146,9,1/2 bushel cartons,18.0,18.0,288.0
147,9,1/2 bushel cartons,18.0,18.0,288.0
148,9,1/2 bushel cartons,18.0,18.0,288.0
149,9,1/2 bushel cartons,18.0,18.0,288.0
150,9,1/2 bushel cartons,15.0,15.0,240.0
151,10,1/2 bushel cartons,15.0,15.0,240.0
152,10,1/2 bushel cartons,15.0,15.0,240.0
188,11,1 1/9 bushel cartons,14.5,15.0,9.677474999999998
189,11,1 1/9 bushel cartons,14.5,15.0,9.677474999999998
190,11,1 1/9 bushel cartons,14.5,15.0,9.677474999999998
191,11,1 1/9 bushel cartons,14.5,15.0,9.677474999999998
209,9,1 1/9 bushel cartons,16.5,18.0,11.317724999999998
356,9,1/2 bushel cartons,15.0,16.0,248.0
357,10,1/2 bushel cartons,15.0,16.0,248.0
358,10,1/2 bushel cartons,15.0,16.0,248.0
359,10,1/2 bushel cartons,15.0,16.0,248.0
360,10,1/2 bushel cartons,15.0,16.0,248.0
361,10,1/2 bushel cartons,15.0,16.0,248.0
362,11,1/2 bushel cartons,15.0,16.0,248.0
377,9,1 1/9 bushel crates,15.0,16.0,10.169549999999997
378,10,1 1/9 bushel crates,15.0,16.0,10.169549999999997
379,10,1 1/9 bushel crates,15.0,16.0,10.169549999999997
380,10,1 1/9 bushel crates,15.0,16.0,10.169549999999997
381,10,1 1/9 bushel crates,15.0,16.0,10.169549999999997
382,10,1 1/9 bushel crates,15.0,16.0,10.169549999999997
383,11,1 1/9 bushel crates,15.0,16.0,10.169549999999997
384,11,1 1/9 bushel crates,15.0,16.0,10.169549999999997
385,11,1 1/9 bushel crates,15.0,16.0,10.169549999999997
386,11,1 1/9 bushel crates,15.0,16.0,10.169549999999997
387,12,1 1/9 bushel crates,15.0,16.0,10.169549999999997
388,9,1 1/9 bushel cartons,15.0,16.0,10.169549999999997
389,10,1 1/9 bushel cartons,15.0,16.0,10.169549999999997
390,10,1 1/9 bushel cartons,15.0,16.0,10.169549999999997
391,10,1 1/9 bushel cartons,15.0,16.0,10.169549999999997
392,10,1 1/9 bushel cartons,15.0,16.0,10.169549999999997
393,10,1 1/9 bushel cartons,15.0,16.0,10.169549999999997
394,11,1 1/9 bushel cartons,15.0,16.0,10.169549999999997
395,11,1 1/9 bushel cartons,15.0,16.0,10.169549999999997
396,11,1 1/9 bushel cartons,15.0,16.0,10.169549999999997
397,11,1 1/9 bushel cartons,15.0,16.0,10.169549999999997
398,12,1 1/9 bushel cartons,15.0,16.0,10.169549999999997
399,12,1 1/9 bushel cartons,15.0,16.0,10.169549999999997
489,9,bushel cartons,20.0,24.0,22.0
490,9,bushel cartons,20.0,24.0,22.0
534,9,1/2 bushel cartons,15.0,18.0,264.0
535,9,1/2 bushel cartons,15.0,18.0,264.0
536,10,1/2 bushel cartons,15.0,18.0,264.0
537,10,1/2 bushel cartons,15.0,18.0,264.0
538,10,1/2 bushel cartons,15.0,18.0,264.0
539,10,1/2 bushel cartons,15.0,18.0,264.0
540,10,1/2 bushel cartons,15.0,18.0,264.0
541,10,1/2 bushel cartons,15.0,18.0,264.0
542,10,1/2 bushel cartons,15.0,18.0,264.0
543,10,1/2 bushel cartons,15.0,18.0,264.0
544,10,1/2 bushel cartons,15.0,18.0,264.0
